Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.612
Naive Bayes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.516
Quadratic Discriminant Analysis,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.012
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052
Logistic Regression,0.9992,0.0,0.9992,0.9992,0.9992,0.9988,0.9988,0.76
Linear Discriminant Analysis,0.9992,0.0,0.9992,0.9992,0.9992,0.9988,0.9988,0.012
Light Gradient Boosting Machine,0.9992,1.0,0.9992,0.9992,0.9992,0.9988,0.9988,0.544
SVM - Linear Kernel,0.9983,0.0,0.9983,0.9984,0.9983,0.9975,0.9975,0.016
Random Forest Classifier,0.9983,1.0,0.9983,0.9983,0.9983,0.9975,0.9975,0.062
Gradient Boosting Classifier,0.9967,0.0,0.9967,0.9967,0.9967,0.995,0.995,0.164
Extreme Gradient Boosting,0.9958,1.0,0.9958,0.9959,0.9958,0.9938,0.9938,0.314
Decision Tree Classifier,0.9942,0.9956,0.9942,0.9943,0.9942,0.9912,0.9913,0.014
Ridge Classifier,0.9625,0.0,0.9625,0.9628,0.9625,0.9438,0.9439,0.016
Ada Boost Classifier,0.6667,0.0,0.6667,0.4994,0.5553,0.5,0.612,0.046
Dummy Classifier,0.3333,0.5,0.3333,0.1111,0.1667,0.0,0.0,0.016
